location,station,longitude,latitude,elevation,from
Alor Star,486030,100.4,6.2,5,1959
Bintulu,964410,113.03,3.2,2,1955
Butterworth,486020,100.38,5.46,4,1962
Cameron Highlands,486320,101.36,4.46,1545,2015
Ipoh,486250,101.1,4.56,40,1959
Johore Bharu/Senai,486790,103.66,1.63,37,1999
Kota Bharu,486150,102.28,6.16,5,1954
Kota Kinabalu,964710,116.05,5.93,3,1955
Kuantan,486570,103.21,3.78,18,1954
Kuching,964130,110.33,1.48,27,1955
Kuala Lumpur/Subang,486470,101.55,3.11,27,1949
Kudat,964770,116.83,6.91,3,2002
Kuala Trengganu,486180,103.1,5.38,6,2005
Labuan,964650,115.23,5.3,30,1955
Langkawi,486000,99.73,6.33,8,2000
Malacca,486650,102.25,2.26,11,1949
Miri,964490,113.98,4.33,17,1955
Mersing,486021,103.83,2.45,45,2004
Mersing,486740,103.83,2.45,45,1959
Penang/Bayan Lepas,486010,100.26,5.3,3,1949
Sandakan,964910,118.06,5.9,12,1955
Sri Aman/Simangga,960011,111.45,1.21,11,2004
Sepang,486500,101.7,3.1,17,2006
Sibu,964210,11.83,2.33,8,1961
Sultan Abdul Halim,486022,100.4,6.18,5,2004
Sultan Azlan Shah,486023,101.08,4.56,41,2004
Sitiawan,486200,100.7,4.21,7,1954
Tawau,964810,117.88,4.26,18,1979